John Doe,1234567290,jdoe,password123,2500.50,
Jane Smith,9876543210,jsmith,securePass!,3200.00,
Alice Johnson,5551234567,ajohnson,alice1234,1580.75,
Bob Brown,4449876543,bbrown,bobSecure!,1900.00,
Carol White,3335556666,cwhite,carolPass99,2100.20,
David Black,2224447777,dblack,daveBlack123,2750.10,
Emily Green,1112223333,egreen,emilyGreen12,3005.60,
Frank Hall,6667778888,fhall,frankie!hall,2350.80,
Grace King,9998887777,gking,graceKing99,2800.45,
Hannah Scott,8889996666,hscott,hannahScott1,1500.95,
